BinCenter (ps);Histo01;Histo02;Histo03;Histo04
378,5;4;14720;0;0
379,5;3;14635;0;0
380,5;8;14579;0;0
381,5;3;14483;0;0
382,5;3;14462;0;0
383,5;7;14668;0;0
384,5;5;14689;0;0
385,5;6;14446;0;0
386,5;9;14570;0;0
387,5;7;14585;0;0
388,5;8;14457;0;0
389,5;10;14465;0;0
390,5;8;14572;0;0
391,5;7;14352;0;0
392,5;5;14526;0;0
393,5;2;14664;0;0
394,5;4;14497;0;0
395,5;4;14437;0;0
396,5;11;14357;0;0
397,5;5;14223;0;0
398,5;9;14459;0;0
399,5;5;14339;0;0
400,5;6;14356;0;0
401,5;1;14157;0;0
402,5;6;14382;0;0
403,5;5;14147;0;0
404,5;5;14392;0;0
405,5;6;14330;0;0
406,5;14;14188;0;0
407,5;6;14305;0;0
408,5;9;14056;0;0
409,5;10;14210;0;0
410,5;9;14310;0;0
411,5;7;14071;0;0
412,5;4;14184;0;0
413,5;5;14136;0;0
414,5;7;14137;0;0
415,5;5;14164;0;0
416,5;6;14010;0;0
417,5;3;14040;0;0
418,5;6;14128;0;0
419,5;10;14041;0;0
420,5;7;13869;0;0
421,5;7;13852;0;0
422,5;7;14149;0;0
423,5;7;13831;0;0
424,5;6;13892;0;0
425,5;5;13930;0;0
426,5;9;13849;0;0
427,5;11;13968;0;0
428,5;4;13938;0;0
429,5;7;13988;0;0
430,5;6;14000;0;0
431,5;9;14017;0;0
432,5;10;13982;0;0
433,5;9;14028;0;0
434,5;5;14098;0;0
435,5;3;13715;0;0
436,5;7;13941;0;0
437,5;8;13806;0;0
438,5;6;13896;0;0
439,5;7;13816;0;0
440,5;3;13562;0;0
441,5;5;13735;0;0
442,5;10;13753;0;0
443,5;6;13904;0;0
444,5;3;13429;0;0
445,5;2;13622;0;0
446,5;9;13591;0;0
447,5;6;13757;0;0
448,5;10;13798;0;0
449,5;5;13549;0;0
450,5;11;13436;0;0
451,5;3;13549;0;0
452,5;8;13721;0;0
453,5;4;13494;0;0
454,5;7;13510;0;0
455,5;10;13572;0;0
456,5;4;13695;0;0
457,5;8;13491;0;0
458,5;7;13620;0;0
459,5;7;13502;0;0
460,5;4;13301;0;0
461,5;10;13436;0;0
462,5;2;13553;0;0
463,5;6;13428;0;0
464,5;6;13643;0;0
465,5;5;13405;0;0
466,5;6;13167;0;0
467,5;5;13303;0;0
468,5;5;13514;0;0
469,5;8;13353;0;0
470,5;8;13093;0;0
471,5;8;13416;0;0
472,5;11;13197;0;0
473,5;2;13144;0;0
474,5;11;13404;0;0
475,5;4;13357;0;0
476,5;11;13233;0;0
477,5;9;13457;0;0
478,5;7;13318;0;0
479,5;6;13369;0;0
480,5;4;13324;0;0
481,5;5;13073;0;0
482,5;4;13052;0;0
483,5;6;13242;0;0
484,5;10;13102;0;0
485,5;9;13270;0;0
486,5;5;13066;0;0
487,5;5;13069;0;0
488,5;10;13106;0;0
489,5;6;13121;0;0
490,5;5;13136;0;0
491,5;11;13002;0;0
492,5;8;13015;0;0
493,5;12;12842;0;0
494,5;4;12904;0;0
495,5;5;13083;0;0
496,5;5;13153;0;0
497,5;5;12916;0;0
498,5;8;12936;0;0
499,5;14;13057;0;0
500,5;3;12867;0;0
501,5;7;12881;0;0
502,5;9;13039;0;0
503,5;8;12881;0;0
504,5;6;12990;0;0
505,5;8;13060;0;0
506,5;7;13032;0;0
507,5;14;12836;0;0
508,5;3;12821;0;0
509,5;4;13016;0;0
510,5;2;12801;0;0
511,5;4;12825;0;0
512,5;5;12947;0;0
513,5;8;12604;0;0
514,5;5;12902;0;0
515,5;5;12614;0;0
516,5;9;12849;0;0
517,5;7;12706;0;0
518,5;9;12613;0;0
519,5;7;12686;0;0
520,5;6;12744;0;0
521,5;11;12593;0;0
522,5;10;12850;0;0
523,5;8;12755;0;0
524,5;7;12561;0;0
525,5;11;12512;0;0
526,5;4;12701;0;0
527,5;5;12583;0;0
528,5;6;12693;0;0
529,5;10;12476;0;0
530,5;5;12517;0;0
531,5;13;12733;0;0
532,5;3;12579;0;0
533,5;6;12503;0;0
534,5;5;12626;0;0
535,5;9;12478;0;0
536,5;8;12397;0;0
537,5;7;12445;0;0
538,5;13;12602;0;0
539,5;5;12577;0;0
540,5;10;12436;0;0
541,5;7;12403;0;0
542,5;11;12362;0;0
543,5;9;12280;0;0
544,5;8;12366;0;0
545,5;6;12116;0;0
546,5;6;12440;0;0
547,5;13;12409;0;0
548,5;5;12475;0;0
549,5;10;12444;0;0
550,5;6;12101;0;0
551,5;9;12383;0;0
552,5;4;12433;0;0
553,5;4;12136;0;0
554,5;5;12353;0;0
555,5;4;12241;0;0
556,5;11;12217;0;0
557,5;6;12232;0;0
558,5;9;12471;0;0
559,5;4;12151;0;0
560,5;3;12216;0;0
561,5;8;12329;0;0
562,5;5;12247;0;0
563,5;6;12045;0;0
564,5;9;11996;0;0
565,5;10;12262;0;0
566,5;9;12215;0;0
567,5;5;12208;0;0
568,5;6;12155;0;0
569,5;5;11925;0;0
570,5;5;12009;0;0
571,5;5;12207;0;0
572,5;6;12264;0;0
573,5;5;11940;0;0
574,5;14;12103;0;0
575,5;6;12053;0;0
576,5;4;12087;0;0
577,5;10;11987;0;0
578,5;8;12023;0;0
579,5;4;11940;0;0
580,5;6;12046;0;0
581,5;7;11894;0;0
582,5;3;12047;0;0
583,5;3;11991;0;0
584,5;3;11796;0;0
585,5;4;11913;0;0
586,5;7;11941;0;0
587,5;9;11878;0;0
588,5;5;12008;0;0
589,5;7;11903;0;0
590,5;10;11897;0;0
591,5;8;11681;0;0
